综合商场|港汇恒隆广场(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.4379|31.19497|1855|徐汇区虹桥路1号|7.8|4635|40.0
综合商场|东方商厦(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.43788|31.193403|182|徐汇区漕溪北路8号|7.6|788|40.0
书店|大众书局(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.43975|31.193293|199|徐汇区肇嘉浜路1111号美罗城5楼|7.4|989|40.0
书店|博库书城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.425606|31.180277|111|徐汇区宜山路515号|7.5|381|40.0
眼镜店|YOOFACE时尚眼镜坊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.44141|31.19455|240|徐汇区肇嘉浜路1065号飞雕国际大厦701室|8.8|280|45.0
服饰鞋包|i.t(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.43747|31.19433|70|徐汇区虹桥路1号港汇恒隆广场B1-B2楼|7.5|272|40.0
超市/便利店|罗森奥特曼主题店(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.43946|31.19304|101|徐汇区肇嘉浜路1111号美罗城1楼外围|8.0|139|40.0
眼镜店|一代眼镜(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.43795|31.194656|20|徐汇区虹桥路1号港汇恒隆广场501B|8.1|145|40.0
超市/便利店|Ole'超市(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.4379|31.19495|704|徐汇区虹桥路1号港汇恒隆广场B108/B116|8.1|951|40.0
服饰鞋包|Tutuanna(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.439514|31.193384|124|徐汇区肇嘉浜路1111号美罗城B1楼|7.9|206|40.0
服饰鞋包|蜜桃派(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.439514|31.193384|185|徐汇区肇嘉浜路1111号美罗城B1楼|7.7|424|40.0
服饰鞋包|MUJI(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.439514|31.193384|157|徐汇区肇嘉浜路1111号美罗城商厦B1楼11-14号商铺|8.0|449|40.0
眼镜店|ZOFF(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.439514|31.193384|74|徐汇区肇嘉浜路1111号美罗城B1楼|7.8|195|40.0
综合商场|光启城时尚购物中心(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.42837|31.183958|416|徐汇区宜山路455号|8.0|776|40.0
服饰鞋包|MUJI(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.42836|31.183956|69|徐汇区宜山路425号光启城时尚购物中心内|8.1|140|40.0
超市/便利店|家乐福(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.428375|31.183964|101|徐汇区宜山路455号光启城时尚购物中心B1-B2楼|7.9|227|40.0
数码产品|上海苹果手机iphone维修(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)|121.43252|31.185507|52|徐汇区裕德路168号|7.9|134|40.0
